id,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,y
2069,2,6,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2070,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2071,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2072,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2073,1,6,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2074,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2075,2,5,2,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,0
2076,1,6,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2077,2,6,2,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2078,2,5,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2079,1,5,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2080,2,6,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2081,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2082,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2083,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2084,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2085,1,5,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2086,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2087,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2088,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2089,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2090,2,6,-1,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2091,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2092,1,4,2,2,2,2,2,0,0,2,1,2,2,2,0.0,0.0,2,2,2,2,1
2093,2,5,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2094,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2095,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2096,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2097,2,6,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
2098,2,4,2,2,2,2,2,2,2,2,3,2,2,2,0.0,0.0,2,2,2,2,1
2099,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2101,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1
2102,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2103,2,4,2,0,0,0,0,-1,-1,0,1,0,0,0,0.0,0.0,0,0,0,0,1
2104,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2105,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2106,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2107,2,5,0,3,3,3,3,2,0,3,0,3,3,3,0.0,0.0,3,3,3,3,1
2108,2,5,-1,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2109,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2110,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2111,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2112,1,6,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2113,2,5,-2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2114,2,5,-1,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2115,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2116,1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2117,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2118,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2119,2,5,0,0,0,0,0,0,-2,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2120,2,5,-1,0,0,0,0,-1,-1,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2121,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2122,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2123,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2124,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2125,2,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2126,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2127,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2128,1,6,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2129,1,5,2,2,2,2,2,2,0,2,2,2,2,2,0.0,0.0,2,2,2,2,0
2130,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2131,1,4,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2132,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2133,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2134,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2135,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2136,1,5,0,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2137,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
2138,1,6,2,0,0,0,0,2,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2139,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2140,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2141,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2142,2,4,0,0,0,0,0,-1,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2143,2,6,0,0,0,0,0,0,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2144,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2145,2,6,-2,2,2,2,2,0,0,2,1,2,2,2,0.0,0.0,2,2,2,2,1
2146,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2147,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2148,1,5,3,0,0,0,0,-1,-1,0,1,0,0,0,0.0,0.0,0,0,0,0,1
2149,2,6,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2150,2,5,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2151,2,6,2,0,0,0,0,2,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2152,2,4,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2153,2,6,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2154,2,6,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2155,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
2156,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2157,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2158,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,0
2159,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2160,1,5,2,2,2,2,2,2,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2161,2,6,-1,0,0,0,0,-1,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2162,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2163,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2164,2,4,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2165,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2166,2,4,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2167,2,6,-2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2168,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2169,2,4,0,2,2,2,2,2,3,2,0,2,2,2,0.0,0.0,2,2,2,2,1
2170,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2171,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2172,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2173,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2174,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2175,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2176,2,5,0,0,0,0,0,2,2,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2177,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2178,2,4,-1,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2179,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2180,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2181,2,5,0,2,2,2,2,2,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
2182,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2183,1,5,0,0,0,0,0,0,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2184,1,5,2,2,2,2,2,0,0,2,3,2,2,2,0.0,0.0,2,2,2,2,0
2185,1,4,-1,0,0,0,0,-1,-1,0,2,0,0,0,0.0,0.0,0,0,0,0,0
2186,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2187,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2188,2,4,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
2189,2,5,2,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2190,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2191,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2192,2,5,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2193,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2194,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2195,1,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2196,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2197,2,4,3,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,0
2198,1,6,0,0,0,0,0,-1,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2199,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2200,2,5,2,0,0,0,0,0,-2,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2201,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2202,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2203,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2204,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2205,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2206,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2207,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2208,2,5,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0
2209,2,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2210,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2211,1,5,0,0,0,0,0,0,-1,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2212,1,4,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2213,2,6,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2214,1,6,2,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
2215,1,4,2,2,2,2,2,-2,-2,2,1,2,2,2,0.0,0.0,2,2,2,2,1
2216,1,5,2,0,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,1
2217,2,5,-1,2,2,2,2,-1,-1,2,-1,2,2,2,0.0,0.0,2,2,2,2,0
2218,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2219,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2220,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2221,2,6,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
2222,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2223,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2224,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2225,2,5,0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,1
2226,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2227,2,6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
2228,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2229,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2230,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2231,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2232,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2233,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2234,2,4,0,0,0,0,0,2,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2235,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2236,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2237,1,5,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
2238,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2239,2,5,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,1
2240,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
2241,2,4,0,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,0
2242,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2243,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2244,2,5,2,0,0,0,0,2,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1
2245,2,4,2,2,2,2,2,0,0,2,3,2,2,2,0.0,0.0,2,2,2,2,0
2246,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2247,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
2248,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2249,1,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2250,1,5,0,2,2,2,2,2,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
2251,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2252,2,6,-1,0,0,0,0,-1,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2253,1,5,0,2,2,2,2,-2,-1,2,0,2,2,2,0.0,0.0,2,2,2,2,0
2254,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2255,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2256,1,5,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2257,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2258,2,6,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2259,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2260,2,4,0,2,2,2,2,2,2,2,0,2,2,2,0.0,0.0,2,2,2,2,1
2261,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2262,2,6,2,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,0
2263,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2264,1,5,2,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0,0,0,0,0
2265,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2266,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2267,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2268,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2269,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2270,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2271,1,6,2,0,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,1
2272,1,5,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
2273,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0
2274,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2275,1,5,2,2,2,2,2,-1,-1,2,1,2,2,2,0.0,0.0,2,2,2,2,0
2276,2,4,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2277,2,4,0,-1,-1,-1,-1,-2,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2278,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2279,2,6,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2280,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2281,2,4,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2282,2,6,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2283,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,0
2284,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2285,2,5,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2286,2,6,-2,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2287,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2288,2,5,0,0,0,0,0,-2,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2289,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2290,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2291,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2292,1,6,0,-2,-2,-2,-2,-2,-1,-2,0,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2293,2,6,2,0,0,0,0,2,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2294,2,6,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2295,2,5,0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
2296,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2297,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2298,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2299,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2300,2,6,2,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2301,2,5,0,-1,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2302,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2303,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2304,2,4,0,-2,-2,-2,-2,-2,-1,-2,0,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2305,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2306,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2307,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
2308,1,6,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2309,2,4,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
2310,2,6,-2,-1,-1,-1,-1,-2,-2,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2311,1,6,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2312,2,4,-1,2,2,2,2,2,3,2,-1,2,2,2,0.0,0.0,2,2,2,2,0
2313,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
2314,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
2315,1,5,0,2,2,2,2,3,2,2,0,2,2,2,0.0,0.0,2,2,2,2,0
2316,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2317,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2318,2,4,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2319,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2320,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2321,1,5,2,0,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0
2322,2,6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
2323,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2324,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
2325,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
